createdAt,text,sentimen
2026-04-12 11:04:49,"@Ritzhy1 @ulil_f4 @bachrum_achmadi Maaf mas anda ga ngerti ilmu hukum, makanya anda mikirnya sama aja. Di dlm ilmu hukum dan aturan hukum ga bisa spt itu. Perdata bsa diwakilkan pengacara dan jokowi bkn tersangka namun saksi jd ga wajib dtg. Jika pidana pun bisa diwakilkan slama bkn terdakwa. Tp beliau mau hadir",Neutral
2026-04-12 11:21:25,"@DennySeggssegar @sampahfhui nyabu juga bnyk yg private, apa karena private jdi bebas dari hukum? bisa2x nya yg ginian ada SJW nya",Positive
2026-04-12 11:45:25,ngeliat kasus fh ui ngelecehin cewe2 di group chat gw jd ke trigger gitu dah karena gw dan temen gw pernah jd bahan omongan cowo2 persis sebejat itu di gc mereka,Positive
2026-04-12 12:13:00,"@DennySeggssegar @sampahfhui gw lulusan kampus tsb btw, dan gw bukan yg hebat2 amat. mind you kuliah gw jauh lebih lurus dibanding bejat2 tsb. ga jadi apa2 kok gw. apalagi yang otaknya satu senti kek mereka2 itu. fhui bukan jaminan, malah bisa jadi bumerang",Positive
2026-04-12 12:24:16,x gua kenapa gabisa munculin foto dah padahal gua mau baca kasus fh ui itu,Neutral
2026-04-12 12:27:06,"@DennySeggssegar @sampahfhui who cares, go back to ur stank room you old hag",Negative
2026-04-12 12:30:12,@DennySeggssegar @sampahfhui otak lu di intok ya,Negative
2026-04-12 12:55:16,@DennySeggssegar @sampahfhui “calon-calon pengacara handal” https://t.co/CYpE8b48Ht,Negative
2026-04-12 13:05:44,"@DennySeggssegar @sampahfhui nag all you want stupidass, educate yourself.",Negative
2026-04-12 13:19:20,[PERNYATAAN SIKAP BEM FH UI BSO FH UI DAN BK FH UI] Halo FH UI UI dan Indonesia! https://t.co/lTrpNXG3vh,Neutral
2026-04-12 13:19:29,(5) bersama mengenai pencegahan dan penanganan kekerasan seksual di lingkup FH UI. BEM FH UI BSO FH UI dan BK FH UI: Badan Eksekutif Mahasiswa FH UI 2026 Business Law Society FH UI 2026 Derecho Badminton Club FH UI 2026 Indonesia Law Debate Society FH UI 2026,Neutral
2026-04-12 13:19:31,(7) Recht Football Club FH UI 2026 Recht Taekwondo FH UI 2026 Law s Art Performers FH UI 2026 dan Law Table Tennis Club FH UI 2026 Narahubung: Dimas (88imski/081213342414) #BEMFHUI2026 BEM FH UI 2026 Harmoni Memberi Arti,Neutral
2026-04-12 13:36:50,ni akun MBG ampe repost kasus FH UI,Neutral
2026-04-12 14:02:51,@DennySeggssegar @sampahfhui lu nih kayaknya sekongkol ama mereka ye,Negative
2026-04-12 14:04:14,@DennySeggssegar @sampahfhui dituntut balik? WKWK mending berdoa biar ga dikeluarin dari kampus deh,Negative
2026-04-12 14:29:51,@ruigojiten Q1 baru lewat tp mahasiswa hukum ui udh segudang yg SA :) maybe they should change their name to fakultas sarang pelecehan,Positive
2026-04-12 14:31:02,baca kasus fh ui ternganga aku wakk,Neutral
2026-04-12 14:32:45,"@Ritzhy1 @ulil_f4 @bachrum_achmadi Anda ga ngerti hukum, anda kalo ngomong kyk gini sama pengacara/advokat yg ada anda diketawain. Kalo ga ngerti mending diem drpd byk ngomong tp memperlihatkan kebodohan sendiri. Maaf saya SS komen anda yg memanggil jokowi dg kasar ke relawan, hati2 dg ketikan ands",Neutral
2026-04-12 14:33:03,@DennySeggssegar @sampahfhui Habis ngetik gini isepin deh peler mereka satu satu biar lu puas,Negative
2026-04-12 14:58:16,"The fact mereka ga cuman bikin malu FH UI, tapi juga anak hukum satu Indonesia. Masih punya muka kah mereka nanti? Harusnya sih ngga ya kalo PUNYA MALU",Positive
2026-04-12 15:08:13,"Sadly, grup chat/obrolan kek gini banyak bgt di lingkungan kampus manapun. Itu yg di fh ui kebetulan lagi ketauan aja. Ayok bareng"" lah stop normalisasi pelecehan kek gini di lingkungan sekitar kita apalagi di institusi pendidikan",Positive
2026-04-12 15:14:35,@DennySeggssegar @sampahfhui (((CALON))) PENGACARA. Ngakak. 🤣,Neutral
2026-04-12 15:16:45,"Najis najis najisss puh puhhh puhhh. Fak u org2 pelaku pelecehan FH UI fakyu. Bejat gada adab ga pnya etika. Mahal2 bapak lo kuliahin lo, malah jdi sampah masyarakat. Gue berdoa semoga lo semua gada yg berhasil berkecimpung di dunia hukum. Ga pantes anjigg",Positive
2026-04-12 15:31:12,@jeylifis ANJIRT BARUSAN LEWAT SEREM BGT JIR FHUI LOH JIR,Neutral
2026-04-12 15:45:33,baru baca kasus fh ui anjir kacau bngt as anak hukum jujur gue marah bngt. kok bisa sih otak bokep masuk ke fh anj.,Positive
2026-04-12 15:53:41,Malu-maluin sekampus. Ngga usah lu kuliah di fhui.,Positive
2026-04-12 15:56:16,"org stres hari gini, tadi anak fhui pelecehan, skrg freak yg ngajak vidcallan?? ciut lah terong kau itu",Positive
2026-04-12 15:56:41,"jujur masih sakit ati gw sebagai mahasiswa fh ui ngebaca respon orang-orang tentang isu ks di fh ui baru baru ini, jadi ikutan ngerasa malu dan emosi tau ga si..., baik yang terlibat secara langsung dan tidak dalam percakapan saat itu masalahnya orang-orang yang punya ""nama"" 😬",Positive
2026-04-12 16:26:35,Tongkrongan di grup chat FHui isinya pelecehan semua,Positive
2026-04-12 16:31:58,"@revol7hink @sampahfhui Ranah privat apaan... ranah privat tp isinya pelecehan ya tetap aja itu pelanggaran hukum.. pelanggarannya apa..?? Krn di ranah privat, lu mukul adek lu di rmh, lu pun bs kena jerat hukum klo tuh anak ngelapor.. dongok",Positive
2026-04-12 17:21:22,"@sampahfhui Untuk menyelamatkan nama besar FH UI, hukuman apa yang pantas untuk mereka menurut kalian? Soalnya ini FH UI loh, harusnya mereka tau bahwa MORAL dan WISDOM itu diatas aturan tertulis.",Positive
2026-04-12 17:32:12,@revol7hink @sampahfhui Tdk ada korban apaan... jelas2 itu ada objek (bagian tubuh wanita) n nama korban tp di samarkan.. n lagian katanya itu baru sebagian chat doank... Artinya ada bnyk chat lainnya yg blm terpublish.....,Positive
2026-04-12 17:33:32,"Perempuan perempuan di FH UI harus speak up for their betterment in study, karena WDYM orang orang kaya gini masih ngampus dan u guys menjadi korban ketidaknyamanan dan ketakutan karena bakalan jadi bahan objektifikasi mereka?",Positive
2026-04-12 18:18:19,@revol7hink @sampahfhui Kau paok ngatur2.. gw bilang kita tunggu aja lanjutannya... Clckckckck...,Neutral
2026-04-12 19:23:44,fhui ternyata bibit predator kekerasan seksual,Positive
2026-04-12 19:44:16,"emang gitu ya pelaku pelecehan seksual, selalu merangkap jadi komedian. lucu banget soalnya minta maaf karena ketauan, copas, di grup. memang top lah pelaku pelecehan FHUI ini, 16 orang pula. 😌",Positive
2026-04-12 19:47:45,@revol7hink @RaintRico @sampahfhui akwkawksk semangat co,Neutral
2026-04-12 22:34:42,"@savehexc MALU""IN FH UI ANJIM",Positive
2026-04-12 23:11:06,"malu maluin FH UI sama UI jings, mana seangkatan lagi ewhhhh",Positive
2026-04-12 23:47:30,@dweznu @bebekqaleo @sampahfhui @fpciui bener salah satunya adalah grup cowo yg pada saat itu masih pacar aku dan yang dibahas adalah akuu memang kebanyakan cowo seperti ini,Neutral
2026-04-12 23:47:48,@bebekqaleo @sampahfhui anj muka sm kelakuan sm sm jelekkk,Neutral
2026-04-12 23:47:59,@bebekqaleo @txtdrstoryWA @sampahfhui jadi sarjana hukum paling mentok admin LBH mereka ini,Neutral
2026-04-12 23:49:39,@sampahfhui Fakta bahwa mereka akan tenang2 aja di masa depan krn mungkin di back up keluarga dan mungkin akan jadi org berpengaruh di masa depan lagi-lagi karena keluarganya,Negative
2026-04-12 23:49:48,@oddlilieth @sampahfhui Mampus tuh org,Positive
2026-04-12 23:50:41,@tjok_aps @DennySeggssegar @sampahfhui Pendapat yg bagus namun bodoh https://t.co/znE51dVwrR,Neutral
2026-04-12 23:51:53,@MastinSaurus @sampahfhui sekosong kosongnya otak Patrick Star lebih kosongan otak lu kayanya,Neutral
2026-04-12 23:52:13,@sampahfhui Najis bgt..,Positive
2026-04-12 23:52:30,@sampahfhui Diam berarti consent ????,Positive
2026-04-12 23:53:43,@bebekqaleo @sampahfhui @fpciui kirain grup chat gua,Neutral
2026-04-12 23:54:53,@Skuttas69 @sampahfhui Karena ga diajak Ini dia spill temen2nya pasti ngeh siapa terus dosa nya di spill balik Ada2 aja bocah tanggung,Negative
2026-04-12 23:55:16,@bebekqaleo @sampahfhui ga punya manner samsek jijikkk semoga w dijauhkan dari orang orang begini,Positive
2026-04-12 23:55:47,@MastinSaurus @sampahfhui tongkrongan pemerkosa kah?,Positive
2026-04-12 23:55:52,@chilzdren @MastinSaurus @sampahfhui Ya makanya gua bilang harusnya itu grup (fhui) kaya gini aja...,Neutral
2026-04-12 23:55:56,@sampahfhui Gblk banget sejak kapan diam berarti consent? Kok bisa secabul ini masuk fh? UI? SAKIT.,Positive
2026-04-12 23:55:56,@oddlilieth @sampahfhui mayoritas pelakunya mayoritas,Neutral
2026-04-12 23:56:39,@revol7hink @RaintRico @sampahfhui Ajahahahahah Ada aja waktu lo ladenin kepala isi kontol,Neutral
2026-04-12 23:57:28,@sampahfhui Kualitas manusia UI kok banyak yg jelek si? Dulu tuh kesannya anak UI pinter dan wow. Byk bgt kasus aneh taunya dr UI.,Neutral
2026-04-13 04:04:45,@DennySeggssegar @sampahfhui pft calon pengacara handal katanya,Neutral
2026-04-13 04:44:10,"@Ritzhy1 @Daimankobe @ulil_f4 @bachrum_achmadi Nah anda yg salah maksud, yg disebut pak jokowi adalah akan ditunjukkan di sidang pidana roy suryo, kalo perdata emg gaperlu. Lagian pengacara sbg perwakilan jokowi itu bilang scra jelas di media akan memperlihatkan ijazah di sidang pidana, silahkan dicek byk infonya",Neutral
2026-04-13 04:44:12,@DennySeggssegar @KSubktkn @hesselinker lu kira paham liberal bolehin pelecehan ama pemerkosaan apa. kocaklu,Positive
2026-04-13 04:54:03,@DennySeggssegar @sampahfhui Ngebelain sampe segininya... pelaku juga kah?,Negative
2026-04-13 05:31:22,"@revol7hink @debhua Make fun rape btw, berpegang bahwa diam = consent = bukan pemerkosaan, orang-orang ini bakal jadi calon penentu keadalian",Positive
2026-04-13 05:52:09,"@revol7hink @tsetchaiklatte Hidup bukan cuman soal hukum, etika etis juga perlu dalam bertahan hidup menuju masyarakat bahagia sejahtera. Tapi aku ngerti kamu sih, bos kamu kan ngomong ndasmu etik",Neutral
2026-04-13 06:03:42,@DennySeggssegar @sampahfhui Akalny mana,Neutral
2026-04-13 06:12:30,@revol7hink @tsetchaiklatte dih? dikira pelecehan harus secara fisik doang? ada yg namanya pelecehan verbal. belajar lg makanya,Positive
2026-04-13 06:15:18,@DennySeggssegar @sampahfhui opini sampah,Positive
2026-04-13 06:21:13,"@revol7hink @geniusmurariki @yaudsbrok @bolabolaebol @sadampermana_w tanpa ada pihak yang dirugikan???? literally di ss group nya mereka menyebut NAMA KORBAN sampai harus di sensor, menurut lu itu ga dirugikan secara hukum???? dosen nya sendiri loh, mau dicium keteknya menurut lu ga ada yang dirugikan???",Positive
2026-04-13 06:31:24,"@revol7hink @sadampermana_w Mungkin menurut lu sebatas “omongan”, tanpa perbuatan. Omongan di grup privat yang rutin kek gini nunjukin pola pikir yang rusak parah, apalagi dari calon ahli hukum. Korban yang namanya disebut pasti merasa nggak aman dan trauma, meski tidak ada foto/vid mereka yang disebar.",Positive
2026-04-13 06:33:10,@revol7hink @bolabolaebol @geniusmurariki @yaudsbrok @sadampermana_w ADAAA!!! ADA PEMBICARAAN KS DI DALEM SS AN GRUP YANG KATA LU PRIVAT ITUUU makanya dikecam orang orang astagaaa,Positive
2026-04-13 06:49:34,"@revol7hink @sadampermana_w Kalau misalnya gak DO, gmn caranya menjamin agar orang tersebut gak melakukan hal serupa lagi? Kita udah tau nama-namanya, gmn menciptakan ruang aman kalo pelaku masih berkeliaran di lingkungan kampus? Apakah mahasiswi di FH UI masih merasa nyaman satu kelas/kelompok dgn mereka?",Positive
2026-04-13 07:01:44,"@revol7hink @bolabolaebol @sadampermana_w coba baca UUTPKS, di pasal 4 dan 5 bab II udh dijelasin kok klo sexual assault bukan melalui fisik aja, non fisik juga bisa mau dari verbal ataupun elektronik (chat, kirim foto/video) dan walaupun “chat private” maupun ke tmn sndiri kan yg dia lakuin jg tanpa consent dri korban",Positive
2026-04-13 07:02:41,@revol7hink @tsetchaiklatte Emg ngomongin hukum doang? Ga ngomongin soal etis dan etika? Emang ngelecehin cuma harus ada kontak fisik doang? Punya otak tuh dipake buat mikir. Apa lu sejenis suka ngelecehin orang di grup atau tongkrongan lu?,Positive
2026-04-13 07:03:55,"@revol7hink @bolabolaebol @sadampermana_w baca replyan lo satu satu ditambah pas check replyan orang modal tanya chatgpt, bener bener plenger. gaya gayaan mau discuss dari semua opini cuman mau bela pelaku aja https://t.co/ddKyh1a5ND",Positive
2026-04-13 07:05:23,@revol7hink @sadampermana_w Apabila di ketentuan disiplin mahasiswa (entah namanya apa) ada diatur pelanggaran ethic (menjaga moral dll) dikenakan sanksi s.d DO. Pelanggaran ethic/moral biasanya sih bisa di-stretch cakupannya.,Neutral
2026-04-13 07:30:30,"@revol7hink @8lysm @bolabolaebol @sadampermana_w yang disensor kan itu nama korban kak, itu udah bukan obrolan biasa karena sudah menyebut nama korban yaa. artinya apa? ya artinya sudah melecehkan. kakaknya kan udah jelasin juga kalau tidak terbatas hanya video/foto. berupa chat juga.",Positive
2026-04-13 07:42:10,"@revol7hink @sadampermana_w wkwk orang kayak begini emang patut diladenin, tapi cara meladeninya bukan dengan bales di comment sectionnya dengan mengatakan lo enabler, lo salah satu pelakunya lah, apalah segala macem, dia ngajak discuss kan? langsung aja ayo virtual yang bisa disaksikan banyak orang, live",Neutral
2026-04-13 07:42:21,"@revol7hink @sadampermana_w dalam perspektif hukum dan etik akademik, pelecehan tidak harus selalu berbentuk tindakan fisik langsung. komunikasi privat pun bisa dikualifikasikan sebagai misconduct jika mengandung unsur objektifikasi, pelecehan verbal, atau menciptakan hostile environment bagi korban",Positive
2026-04-13 07:56:45,"@revol7hink @sadampermana_w sudah dijawab bang, kalo elu masih mempertahankan pelaku buat nggak di-DO berarti sama saja anda mendukung pelaku pelecehan seksual https://t.co/9qCFd4iiNv",Positive
2026-04-13 08:13:27,@revol7hink @Wuxean @sadampermana_w KS enabler kalau bentuknya orang ya lu ini. Logikanya kaga kalan.,Positive
2026-04-13 08:20:11,16 Mahasiswa FH UI Diduga Lakukan Kekerasan Seksual ke Mahasiswi ~TR Klik untuk baca: https://t.co/F2QAUs8wCI,Neutral
2026-04-13 08:22:29,"@revol7hink @sadampermana_w Pelecehan seksual secara hukum agama udah salah.Memang hukum agama subjektivitasnya pada individu dan sanksi sosial, tapi setelah terekspos dari hukum individu menjalar lebih ke aturan kemahasiswaan dan tentunya ada aturan etika juga. Masalahnya?",Neutral
2026-04-13 08:41:07,"@DennySeggssegar @sampahfhui Curiga lu naruh hp di selangkangan, rage baiting biar orang orang pada komen biar geter geter lmao",Negative
2026-04-13 08:44:12,@revol7hink @bolabolaebol @sadampermana_w Apa yang diharapkan dr Negara yang Univesitas Top 1nya aja nyetak lulusan kaya lu dan para KS lainnya. Ancur ancur Indonesia,Positive
2026-04-13 08:46:25,@DennySeggssegar @KSubktkn @hesselinker Ga bisa bedain consent sama non consent kah?,Neutral
2026-04-13 09:04:03,"@revol7hink @sadampermana_w KUHP Pasal 414 UU ITE Pasal 27 (1) jo Pasal 45 (1); Pasal 27 (3) jo Pasal 45 (3) UU TPKS Pasal 5 UU 12/22 Di hukum ruang privat tetap bisa jd objek hukum pidana, nah kalo dirasa sudah semerugikan itu apa alasan kampus ga DO? DO tuh sanksi berat bukan sama dengan tidak mungkin",Positive
2026-04-13 09:28:28,@revol7hink oh sorry thennnnn at least gue gak enabler pelecehan😆 that’s sum up how i am as a human being,Positive
2026-04-13 09:44:49,"@revol7hink @sadampermana_w kalo gitu bantu saya memahami brow, kenapa menurutmu pelecehan seksual harus dilakukan dengan “perbuatan langsung terhadap korban”?",Neutral
2026-04-13 09:59:37,"@revol7hink @sadampermana_w Kalau secara hukum gua gatau karna bukan anak hukum, tapi secara etika jelas salah. Dan sebagai institusi pendidikan, tentu akan berusaha menjaga nama baik institusi mereka agar kepercayaan publik tidak hilang, sehingga D.O mungkin bisa menjadi salah satu cara",Positive
2026-04-13 10:25:18,"@revol7hink @bolabolaebol @sadampermana_w kalo gitu miris ya kak hukum di negara kita, pelaku pelecehan kaya gitu masih bisa dibenarkan dan dibela secara sah oleh negara 🥹🥹🥹🥹",Positive
2026-04-13 10:37:00,@revol7hink @sorosamatsih @tsetchaiklatte pelaku juga ya lo?,Positive
2026-04-13 11:23:33,"@revol7hink bro???? ngomongin mau ""setubuhin orang"" terus muji pantat orang lo bilang bukan pelecehan??? sakit otak lo. udah dibilang masalahnya bukan siapa yang sebarin chatnya, tapi OBROLAN MEREKA, kampung. MIKIR KEK JADI LAKI.",Positive
2026-04-13 11:35:09,@bebekqaleo @sampahfhui masa cuma minta maaf doang ada sanksi lah https://t.co/VJRoH0ZeQu,Positive
2026-04-13 11:37:10,@thxorns minta maaf doang mereka minimal sanksi https://t.co/VJRoH0ZeQu,Positive
2026-04-13 11:42:02,@DennySeggssegar @sampahfhui merkosa orang juga sifatnya private kok 🫤,Negative
2026-04-13 11:46:21,@revol7hink @sadampermana_w Wahh keluarganya kah?? Atau kayanya sesama pelaku juga kali ya,Positive
2026-04-13 12:24:24,@tiktokIDN @TikTokSupport Belajar dari kasus viral oknum mahasiswa FH UI pelecehan verbal khususnya di ruang digital itu nyata dan jangan dinormalisasi. Apalagi sampai bawa² ortu cuma karena ga terima dikritik. Saran gw lebih bijak main sosmed ya guys..,Positive
2026-04-13 12:32:27,16 Mahasiswa FH UI Lecehkan Mahasiswi di Grup Chat Ini Tanggapan Kampus ~RK Baca di sini: https://t.co/VkEiotJyWP,Neutral
2026-04-13 12:44:59,"@revol7hink @sadampermana_w Jadi, Lo antek antek pelaku yang mana nih?",Positive
2026-04-13 12:53:46,@DennySeggssegar @sampahfhui Otak lu di selipin di sela sela taik ya?,Neutral
2026-04-13 13:06:45,@sadampermana_w mereka baru minta maaf doang kawal terus sampe ada sanksi setimpal https://t.co/VJRoH0ZeQu,Positive
2026-04-13 13:08:33,"@revol7hink @tsetchaiklatte mungkin scr hukum tidak salah sebagaimana yg telah disebutkan. tapi selain norma hukum, ada yg namanya etika, adab, kesopanan dan kepantasan. pertanyaannya apakah pantas seseorang yg katanya terdidik dan berpendidikan tinggi memiliki perangai seperti itu?",Positive
2026-04-13 13:11:28,Bayangin dah anjir sekelas FH UI pelecehan? Wtf gatakut kah? Busett https://t.co/PxncMt0kwS,Positive
2026-04-13 13:21:46,"@revol7hink lo ngajak discuss ya? sorry to say ya, gue bukan anak hukum jadi ini bukan ranah gue at all. thanks. oiya lu gabakal tau rasanya jadi korban sebelumlu sendiri jadi korbannya, silakan cari rekan debat lain ya 🤝",Positive
2026-04-13 13:28:06,@revol7hink @ra91831572 @dahanlapuk penyebar bisa kena pidana kalo nanti member grup itu ada yg melaporkan. maksud dari “implikasi pelecehan nonfisik secara langsung” apa ya? gaada istilah ini di pasal yg gue sebutin. ketika unsur pasal terpenuhi = terjadi tindak pidana,Neutral
2026-04-13 13:28:37,@revol7hink @ra91831572 @zeezeesya yakni berperspektif korban. dan yang difokuskan disini adalah piramida kekerasan seksual paling bawah. yakni pewajaran. fokus awal disitu. jika korban ingin melapor/tidak itu adalah hak korban. kita berbicara sebelum pidana terjadi. yakni pencegahan.,Positive
2026-04-13 13:29:12,"@revol7hink @ebocil pelecehan bukan cuma berupa fisik, ada juga yang namanya pelecehan verbal, baik secara langsung, maupun tidak langsung. hal tsb udah jelas tertulis dan ada undang undang nya. kenapa bisa tertulis? karna peraturan bukan cuma berdasarkan kejahatan materiil, tapi juga soal moral.",Positive
2026-04-13 13:35:08,"@revol7hink @ra91831572 @dahanlapuk diskursus ini kan muncul karena lo dan gue dan semua orang disini sudah tau dan baca chat itu, artinya chat itu kan sudah tersebar. pun di uu tpks gak perlu ada konteks “disebarluaskan”. ketika ada perempuan ga sengaja baca chat privat temannya cowo yg bahas tubuh dia(1)",Positive
2026-04-13 13:45:21,"@revol7hink @tsetchaiklatte Ini researchnya dimana sih? Pelecehan seksual itu ada banyak jenisnya, yang ini pelecehan verbal/non fisik, dan udah ADA UU YANG MEMBAHAS tentang ini juga. Kalaupun gaada uu yg membahas, ini namanya udah ngelanggar etika dan cacat moral. I say get in school and stop barking.",Positive
2026-04-13 13:45:56,@revol7hink @sadampermana_w yg gini biasanya antara pelaku atau pelaku,Positive
2026-04-13 13:47:58,@revol7hink @ra91831572 @dahanlapuk karena kan diskursus ini korban nya perempuan…… gmn sih? jgn bikin gue pusing pls case gue di kantor udah banyak….,Neutral
2026-04-13 14:22:36,"@revol7hink @sadampermana_w bro... kok masih bisa mikir gini? berarti tingkat simpati lu ke korban pelecehan segitu rendahnya kah? i mean, bayangin kalo lu punya adek dan adeklu diomongin yang ga ga digrup kayak gitu. se simpel ini perumpamaannya tapi masa iya ga nyampe?",Positive
2026-04-13 14:28:26,Jd akun jakbal ini punya 7 followers. Bbrp diantaranya adl akun dump dr masing2 divisi organisasi tsb bahkan ada yg ngefollback akun jakbal juga. Ini mengindikasikan kl jakbal adalah emg salah satu anak organisasi yg sama ditambah pernah komen kayak gini di ig bem fh ui (pic 3) https://t.co/gmkktGl1Gc,Neutral
2026-04-13 14:35:31,plea fh ui yang SH cuman 2 orang yang dateng publik? sisanya kemana? FH UI PELECEHAN SEKSUAL,Positive
2026-04-13 14:36:33,speechless sama FH UI mereka cuman berani bawa 2 mahasiswa mesemnya sisa pelaku berlindung di bawah nama orang tuanya.. FH UI PELECEHAN SEKSUAL,Positive
2026-04-13 14:40:25,cuman 2 orang yang ngadepin massa.. sisa pelaku berlindung dibawah nama orang tuanya is CRAZY. FH UI shame shame shameee on you! FH UI PELECEHAN SEKSUAL,Positive
2026-04-13 14:40:53,2 ORANG YANG NGADEPIN MASSA. SISANYA DIEM DI RUANGAN TENANG SAMA ORANGTUA MASING2 DIJAGAIN YA DEK FH UI PELECEHAN SEKSUAL,Positive
2026-04-13 14:46:56,kenapa live fh ui tbtb semua disuruh matiin... request mami papinya siapa itu FH UI PELECEHAN SEKSUAL,Positive
2026-04-13 14:49:01,guys siapa mami papinya pelaku yang ga berani dateng malem ini? FH UI PELECEHAN SEKSUAL. orang penting ya...,Positive
2026-04-13 14:49:34,"@DennySeggssegar @sampahfhui coba dipikir, misal lu cewe, lu berpikir diri lu udah berperilaku layaknya cewe pada umumnya, tanpa ada cuitan sana sini, cat calling, dll.",Neutral
2026-04-13 15:13:25,@revol7hink @tsetchaiklatte Bro ngomongin hukum pake AI :( Ada alasan hukum ga bisa diganti sama AI karena analisis hukum gak cukup satu paragraf doang dan butuh aspek 'moral' terkait HAM. Bilang aja lu enabler jir wkwkkw,Neutral
2026-04-13 15:14:02,oh 14 pelaku lain udah ada yang dijemput mami papinya? FH UI PELECEHAN SEKSUAL,Positive
2026-04-13 15:43:11,@revol7hink @sampahfhui Ini salah satu atau bbrp dari mereka udah nunjukin sikap KS.,Neutral
2026-04-13 16:59:15,@funtakee itu masalah fh ui pelecehan,Neutral
2026-04-13 17:00:21,"@revol7hink @sadampermana_w masi mending DO doang. klo syariat ditegakkan, minimal tu kepala orang2 pelaku KS benjol kena lempar ompreng MBG",Positive
2026-04-13 17:13:27,"@revol7hink @sadampermana_w Bukan orang hukum sy,tp klo pemikiran anda seperti itu simple sih,para orang tua mahasiswi seluruh UI khususnya bapak2,gebukin tuh pelaku yg ada di grup, mereka lecehin anak orang sembarangan smpe dibuat fantasi,sakit hati, 1 suara utk para orang tua perempuan di UI siapapun itu",Positive
2026-04-13 17:30:25,"@revol7hink @sampahfhui kocak lu , sok tauu , kalau group dibocorin jelas udah bukan privasi lagi , Privasi itu ada selama semua orang di dalamnya sama sama jaga rahasia. kalo ada orang kesinggung dan ngelapor ya jelas kena hukum lah , pinteran ai keknya dr elu",Negative
2026-04-13 17:36:37,@sadampermana_w 1. dimas (ketua BEM FH UI) 2. alvi 3. kei ralat ternyata mereka yang naik ya tidak jadi 2 lainnya,Neutral
2026-04-13 17:55:52,@kimmyexp Gamau min lagi kawal kasus fh ui,Neutral
2026-04-13 18:16:39,@Qiarfi intinya ada grup isinya 16 mahasiswa fh ui yg di dalam grup itu mereka melakukan KS secara verbal ke mahasiswi dan bahkan dosen kak cmiiw yaa,Neutral
2026-04-13 18:22:23,dikidoy the next ketua bem fh ui pls,Neutral
2026-04-13 18:47:00,Calon penegak hukum tapi kok malah jadi terduga pelaku pelecehan? Lagi-lagi ruang aman di kampus dipertanyakan. Mirisnya kali ini melibatkan 16 mahasiswa FH UI yang seharusnya paling paham tentang keadilan. https://t.co/BMJrtxz8bC,Positive
