createdAt,text
2026-04-12 14:04:14,@DennySeggssegar @sampahfhui dituntut balik? WKWK mending berdoa biar ga dikeluarin dari kampus deh
2026-04-12 14:29:51,@ruigojiten Q1 baru lewat tp mahasiswa hukum ui udh segudang yg SA :) maybe they should change their name to fakultas sarang pelecehan
2026-04-12 14:32:45,"@Ritzhy1 @ulil_f4 @bachrum_achmadi Anda ga ngerti hukum, anda kalo ngomong kyk gini sama pengacara/advokat yg ada anda diketawain. Kalo ga ngerti mending diem drpd byk ngomong tp memperlihatkan kebodohan sendiri. Maaf saya SS komen anda yg memanggil jokowi dg kasar ke relawan, hati2 dg ketikan ands"
2026-04-12 14:33:03,@DennySeggssegar @sampahfhui Habis ngetik gini isepin deh peler mereka satu satu biar lu puas
2026-04-12 14:58:16,"The fact mereka ga cuman bikin malu FH UI, tapi juga anak hukum satu Indonesia. Masih punya muka kah mereka nanti? Harusnya sih ngga ya kalo PUNYA MALU"
2026-04-12 15:08:13,"Sadly, grup chat/obrolan kek gini banyak bgt di lingkungan kampus manapun. Itu yg di fh ui kebetulan lagi ketauan aja. Ayok bareng"" lah stop normalisasi pelecehan kek gini di lingkungan sekitar kita apalagi di institusi pendidikan"
2026-04-12 15:14:35,@DennySeggssegar @sampahfhui (((CALON))) PENGACARA. Ngakak. 🤣
2026-04-12 15:16:45,"Najis najis najisss puh puhhh puhhh. Fak u org2 pelaku pelecehan FH UI fakyu. Bejat gada adab ga pnya etika. Mahal2 bapak lo kuliahin lo, malah jdi sampah masyarakat. Gue berdoa semoga lo semua gada yg berhasil berkecimpung di dunia hukum. Ga pantes anjigg"
2026-04-12 15:31:12,@jeylifis ANJIRT BARUSAN LEWAT SEREM BGT JIR FHUI LOH JIR
2026-04-12 15:53:41,Malu-maluin sekampus. Ngga usah lu kuliah di fhui.
2026-04-12 15:56:16,"org stres hari gini, tadi anak fhui pelecehan, skrg freak yg ngajak vidcallan?? ciut lah terong kau itu"
2026-04-12 15:56:41,"jujur masih sakit ati gw sebagai mahasiswa fh ui ngebaca respon orang-orang tentang isu ks di fh ui baru baru ini, jadi ikutan ngerasa malu dan emosi tau ga si..., baik yang terlibat secara langsung dan tidak dalam percakapan saat itu masalahnya orang-orang yang punya ""nama"" 😬"
2026-04-12 16:26:35,Tongkrongan di grup chat FHui isinya pelecehan semua
2026-04-12 16:31:58,"@revol7hink @sampahfhui Ranah privat apaan... ranah privat tp isinya pelecehan ya tetap aja itu pelanggaran hukum.. pelanggarannya apa..?? Krn di ranah privat, lu mukul adek lu di rmh, lu pun bs kena jerat hukum klo tuh anak ngelapor.. dongok"
2026-04-12 17:21:22,"@sampahfhui Untuk menyelamatkan nama besar FH UI, hukuman apa yang pantas untuk mereka menurut kalian? Soalnya ini FH UI loh, harusnya mereka tau bahwa MORAL dan WISDOM itu diatas aturan tertulis."
2026-04-12 17:32:12,@revol7hink @sampahfhui Tdk ada korban apaan... jelas2 itu ada objek (bagian tubuh wanita) n nama korban tp di samarkan.. n lagian katanya itu baru sebagian chat doank... Artinya ada bnyk chat lainnya yg blm terpublish.....
2026-04-12 17:33:32,"Perempuan perempuan di FH UI harus speak up for their betterment in study, karena WDYM orang orang kaya gini masih ngampus dan u guys menjadi korban ketidaknyamanan dan ketakutan karena bakalan jadi bahan objektifikasi mereka?"
2026-04-12 18:18:19,@revol7hink @sampahfhui Kau paok ngatur2.. gw bilang kita tunggu aja lanjutannya... Clckckckck...
2026-04-12 19:23:44,fhui ternyata bibit predator kekerasan seksual
2026-04-12 19:44:16,"emang gitu ya pelaku pelecehan seksual, selalu merangkap jadi komedian. lucu banget soalnya minta maaf karena ketauan, copas, di grup. memang top lah pelaku pelecehan FHUI ini, 16 orang pula. 😌"
2026-04-12 19:47:45,@revol7hink @RaintRico @sampahfhui akwkawksk semangat co
2026-04-12 22:34:42,"@savehexc MALU""IN FH UI ANJIM"
2026-04-12 23:11:06,"malu maluin FH UI sama UI jings, mana seangkatan lagi ewhhhh"
2026-04-13 04:04:45,@DennySeggssegar @sampahfhui pft calon pengacara handal katanya
2026-04-13 04:44:10,"@Ritzhy1 @Daimankobe @ulil_f4 @bachrum_achmadi Nah anda yg salah maksud, yg disebut pak jokowi adalah akan ditunjukkan di sidang pidana roy suryo, kalo perdata emg gaperlu. Lagian pengacara sbg perwakilan jokowi itu bilang scra jelas di media akan memperlihatkan ijazah di sidang pidana, silahkan dicek byk infonya"
2026-04-13 04:44:12,@DennySeggssegar @KSubktkn @hesselinker lu kira paham liberal bolehin pelecehan ama pemerkosaan apa. kocaklu
2026-04-13 04:54:03,@DennySeggssegar @sampahfhui Ngebelain sampe segininya... pelaku juga kah?
2026-04-13 05:31:22,"@revol7hink @debhua Make fun rape btw, berpegang bahwa diam = consent = bukan pemerkosaan, orang-orang ini bakal jadi calon penentu keadalian"
2026-04-13 05:52:09,"@revol7hink @tsetchaiklatte Hidup bukan cuman soal hukum, etika etis juga perlu dalam bertahan hidup menuju masyarakat bahagia sejahtera. Tapi aku ngerti kamu sih, bos kamu kan ngomong ndasmu etik"
2026-04-13 06:03:42,@DennySeggssegar @sampahfhui Akalny mana
2026-04-13 06:12:30,@revol7hink @tsetchaiklatte dih? dikira pelecehan harus secara fisik doang? ada yg namanya pelecehan verbal. belajar lg makanya
2026-04-13 06:15:18,@DennySeggssegar @sampahfhui opini sampah
2026-04-13 06:21:13,"@revol7hink @geniusmurariki @yaudsbrok @bolabolaebol @sadampermana_w tanpa ada pihak yang dirugikan???? literally di ss group nya mereka menyebut NAMA KORBAN sampai harus di sensor, menurut lu itu ga dirugikan secara hukum???? dosen nya sendiri loh, mau dicium keteknya menurut lu ga ada yang dirugikan???"
2026-04-13 06:31:24,"@revol7hink @sadampermana_w Mungkin menurut lu sebatas “omongan”, tanpa perbuatan. Omongan di grup privat yang rutin kek gini nunjukin pola pikir yang rusak parah, apalagi dari calon ahli hukum. Korban yang namanya disebut pasti merasa nggak aman dan trauma, meski tidak ada foto/vid mereka yang disebar."
2026-04-13 06:33:10,@revol7hink @bolabolaebol @geniusmurariki @yaudsbrok @sadampermana_w ADAAA!!! ADA PEMBICARAAN KS DI DALEM SS AN GRUP YANG KATA LU PRIVAT ITUUU makanya dikecam orang orang astagaaa
2026-04-13 06:49:34,"@revol7hink @sadampermana_w Kalau misalnya gak DO, gmn caranya menjamin agar orang tersebut gak melakukan hal serupa lagi? Kita udah tau nama-namanya, gmn menciptakan ruang aman kalo pelaku masih berkeliaran di lingkungan kampus? Apakah mahasiswi di FH UI masih merasa nyaman satu kelas/kelompok dgn mereka?"
2026-04-13 07:01:44,"@revol7hink @bolabolaebol @sadampermana_w coba baca UUTPKS, di pasal 4 dan 5 bab II udh dijelasin kok klo sexual assault bukan melalui fisik aja, non fisik juga bisa mau dari verbal ataupun elektronik (chat, kirim foto/video) dan walaupun “chat private” maupun ke tmn sndiri kan yg dia lakuin jg tanpa consent dri korban"
2026-04-13 07:02:41,@revol7hink @tsetchaiklatte Emg ngomongin hukum doang? Ga ngomongin soal etis dan etika? Emang ngelecehin cuma harus ada kontak fisik doang? Punya otak tuh dipake buat mikir. Apa lu sejenis suka ngelecehin orang di grup atau tongkrongan lu?
2026-04-13 07:03:55,"@revol7hink @bolabolaebol @sadampermana_w baca replyan lo satu satu ditambah pas check replyan orang modal tanya chatgpt, bener bener plenger. gaya gayaan mau discuss dari semua opini cuman mau bela pelaku aja https://t.co/ddKyh1a5ND"
2026-04-13 07:05:23,@revol7hink @sadampermana_w Apabila di ketentuan disiplin mahasiswa (entah namanya apa) ada diatur pelanggaran ethic (menjaga moral dll) dikenakan sanksi s.d DO. Pelanggaran ethic/moral biasanya sih bisa di-stretch cakupannya.
2026-04-13 07:30:30,"@revol7hink @8lysm @bolabolaebol @sadampermana_w yang disensor kan itu nama korban kak, itu udah bukan obrolan biasa karena sudah menyebut nama korban yaa. artinya apa? ya artinya sudah melecehkan. kakaknya kan udah jelasin juga kalau tidak terbatas hanya video/foto. berupa chat juga."
2026-04-13 07:42:10,"@revol7hink @sadampermana_w wkwk orang kayak begini emang patut diladenin, tapi cara meladeninya bukan dengan bales di comment sectionnya dengan mengatakan lo enabler, lo salah satu pelakunya lah, apalah segala macem, dia ngajak discuss kan? langsung aja ayo virtual yang bisa disaksikan banyak orang, live"
2026-04-13 07:42:21,"@revol7hink @sadampermana_w dalam perspektif hukum dan etik akademik, pelecehan tidak harus selalu berbentuk tindakan fisik langsung. komunikasi privat pun bisa dikualifikasikan sebagai misconduct jika mengandung unsur objektifikasi, pelecehan verbal, atau menciptakan hostile environment bagi korban"
2026-04-13 07:56:45,"@revol7hink @sadampermana_w sudah dijawab bang, kalo elu masih mempertahankan pelaku buat nggak di-DO berarti sama saja anda mendukung pelaku pelecehan seksual https://t.co/9qCFd4iiNv"
2026-04-13 08:13:27,@revol7hink @Wuxean @sadampermana_w KS enabler kalau bentuknya orang ya lu ini. Logikanya kaga kalan.
2026-04-13 08:22:29,"@revol7hink @sadampermana_w Pelecehan seksual secara hukum agama udah salah.Memang hukum agama subjektivitasnya pada individu dan sanksi sosial, tapi setelah terekspos dari hukum individu menjalar lebih ke aturan kemahasiswaan dan tentunya ada aturan etika juga. Masalahnya?"
2026-04-13 08:41:07,"@DennySeggssegar @sampahfhui Curiga lu naruh hp di selangkangan, rage baiting biar orang orang pada komen biar geter geter lmao"
2026-04-13 08:44:12,@revol7hink @bolabolaebol @sadampermana_w Apa yang diharapkan dr Negara yang Univesitas Top 1nya aja nyetak lulusan kaya lu dan para KS lainnya. Ancur ancur Indonesia
2026-04-13 08:46:25,@DennySeggssegar @KSubktkn @hesselinker Ga bisa bedain consent sama non consent kah?
2026-04-13 09:04:03,"@revol7hink @sadampermana_w KUHP Pasal 414 UU ITE Pasal 27 (1) jo Pasal 45 (1); Pasal 27 (3) jo Pasal 45 (3) UU TPKS Pasal 5 UU 12/22 Di hukum ruang privat tetap bisa jd objek hukum pidana, nah kalo dirasa sudah semerugikan itu apa alasan kampus ga DO? DO tuh sanksi berat bukan sama dengan tidak mungkin"
2026-04-13 09:28:28,@revol7hink oh sorry thennnnn at least gue gak enabler pelecehan😆 that’s sum up how i am as a human being
2026-04-13 09:44:49,"@revol7hink @sadampermana_w kalo gitu bantu saya memahami brow, kenapa menurutmu pelecehan seksual harus dilakukan dengan “perbuatan langsung terhadap korban”?"
2026-04-13 09:59:37,"@revol7hink @sadampermana_w Kalau secara hukum gua gatau karna bukan anak hukum, tapi secara etika jelas salah. Dan sebagai institusi pendidikan, tentu akan berusaha menjaga nama baik institusi mereka agar kepercayaan publik tidak hilang, sehingga D.O mungkin bisa menjadi salah satu cara"
2026-04-13 10:25:18,"@revol7hink @bolabolaebol @sadampermana_w kalo gitu miris ya kak hukum di negara kita, pelaku pelecehan kaya gitu masih bisa dibenarkan dan dibela secara sah oleh negara 🥹🥹🥹🥹"
2026-04-13 10:37:00,@revol7hink @sorosamatsih @tsetchaiklatte pelaku juga ya lo?
2026-04-13 11:23:33,"@revol7hink bro???? ngomongin mau ""setubuhin orang"" terus muji pantat orang lo bilang bukan pelecehan??? sakit otak lo. udah dibilang masalahnya bukan siapa yang sebarin chatnya, tapi OBROLAN MEREKA, kampung. MIKIR KEK JADI LAKI."
2026-04-13 11:42:02,@DennySeggssegar @sampahfhui merkosa orang juga sifatnya private kok 🫤
2026-04-13 11:46:21,@revol7hink @sadampermana_w Wahh keluarganya kah?? Atau kayanya sesama pelaku juga kali ya
2026-04-13 12:44:59,"@revol7hink @sadampermana_w Jadi, Lo antek antek pelaku yang mana nih?"
2026-04-13 12:53:46,@DennySeggssegar @sampahfhui Otak lu di selipin di sela sela taik ya?
2026-04-13 13:08:33,"@revol7hink @tsetchaiklatte mungkin scr hukum tidak salah sebagaimana yg telah disebutkan. tapi selain norma hukum, ada yg namanya etika, adab, kesopanan dan kepantasan. pertanyaannya apakah pantas seseorang yg katanya terdidik dan berpendidikan tinggi memiliki perangai seperti itu?"
2026-04-13 13:21:46,"@revol7hink lo ngajak discuss ya? sorry to say ya, gue bukan anak hukum jadi ini bukan ranah gue at all. thanks. oiya lu gabakal tau rasanya jadi korban sebelumlu sendiri jadi korbannya, silakan cari rekan debat lain ya 🤝"
2026-04-13 13:28:06,@revol7hink @ra91831572 @dahanlapuk penyebar bisa kena pidana kalo nanti member grup itu ada yg melaporkan. maksud dari “implikasi pelecehan nonfisik secara langsung” apa ya? gaada istilah ini di pasal yg gue sebutin. ketika unsur pasal terpenuhi = terjadi tindak pidana
2026-04-13 13:28:37,@revol7hink @ra91831572 @zeezeesya yakni berperspektif korban. dan yang difokuskan disini adalah piramida kekerasan seksual paling bawah. yakni pewajaran. fokus awal disitu. jika korban ingin melapor/tidak itu adalah hak korban. kita berbicara sebelum pidana terjadi. yakni pencegahan.
2026-04-13 13:29:12,"@revol7hink @ebocil pelecehan bukan cuma berupa fisik, ada juga yang namanya pelecehan verbal, baik secara langsung, maupun tidak langsung. hal tsb udah jelas tertulis dan ada undang undang nya. kenapa bisa tertulis? karna peraturan bukan cuma berdasarkan kejahatan materiil, tapi juga soal moral."
2026-04-13 13:35:08,"@revol7hink @ra91831572 @dahanlapuk diskursus ini kan muncul karena lo dan gue dan semua orang disini sudah tau dan baca chat itu, artinya chat itu kan sudah tersebar. pun di uu tpks gak perlu ada konteks “disebarluaskan”. ketika ada perempuan ga sengaja baca chat privat temannya cowo yg bahas tubuh dia(1)"
2026-04-13 13:45:21,"@revol7hink @tsetchaiklatte Ini researchnya dimana sih? Pelecehan seksual itu ada banyak jenisnya, yang ini pelecehan verbal/non fisik, dan udah ADA UU YANG MEMBAHAS tentang ini juga. Kalaupun gaada uu yg membahas, ini namanya udah ngelanggar etika dan cacat moral. I say get in school and stop barking."
2026-04-13 13:45:56,@revol7hink @sadampermana_w yg gini biasanya antara pelaku atau pelaku
2026-04-13 13:47:58,@revol7hink @ra91831572 @dahanlapuk karena kan diskursus ini korban nya perempuan…… gmn sih? jgn bikin gue pusing pls case gue di kantor udah banyak….
2026-04-13 14:22:36,"@revol7hink @sadampermana_w bro... kok masih bisa mikir gini? berarti tingkat simpati lu ke korban pelecehan segitu rendahnya kah? i mean, bayangin kalo lu punya adek dan adeklu diomongin yang ga ga digrup kayak gitu. se simpel ini perumpamaannya tapi masa iya ga nyampe?"
2026-04-13 14:49:34,"@DennySeggssegar @sampahfhui coba dipikir, misal lu cewe, lu berpikir diri lu udah berperilaku layaknya cewe pada umumnya, tanpa ada cuitan sana sini, cat calling, dll."
2026-04-13 15:13:25,@revol7hink @tsetchaiklatte Bro ngomongin hukum pake AI :( Ada alasan hukum ga bisa diganti sama AI karena analisis hukum gak cukup satu paragraf doang dan butuh aspek 'moral' terkait HAM. Bilang aja lu enabler jir wkwkkw
2026-04-13 15:43:11,@revol7hink @sampahfhui Ini salah satu atau bbrp dari mereka udah nunjukin sikap KS.
2026-04-13 17:00:21,"@revol7hink @sadampermana_w masi mending DO doang. klo syariat ditegakkan, minimal tu kepala orang2 pelaku KS benjol kena lempar ompreng MBG"
2026-04-13 17:13:27,"@revol7hink @sadampermana_w Bukan orang hukum sy,tp klo pemikiran anda seperti itu simple sih,para orang tua mahasiswi seluruh UI khususnya bapak2,gebukin tuh pelaku yg ada di grup, mereka lecehin anak orang sembarangan smpe dibuat fantasi,sakit hati, 1 suara utk para orang tua perempuan di UI siapapun itu"
2026-04-13 17:30:25,"@revol7hink @sampahfhui kocak lu , sok tauu , kalau group dibocorin jelas udah bukan privasi lagi , Privasi itu ada selama semua orang di dalamnya sama sama jaga rahasia. kalo ada orang kesinggung dan ngelapor ya jelas kena hukum lah , pinteran ai keknya dr elu"
2026-04-13 19:02:36,"@revol7hink @bebekqaleo @sampahfhui Berdasarkan UU No. 12 Tahun 2022 tentang Tindak Pidana Kekerasan Seksual (UU TPKS), pelecehan seksual non-fisik mencakup pernyataan, gerak tubuh, atau kegiatan yang tidak patut dan mengarah pada seksualitas dengan tujuan merendahkan atau mempermalukan."
2026-04-13 19:09:55,"@revol7hink @bebekqaleo @sampahfhui Jangan di biasain cancel culture? Coba memang canvel culture di Indonesia berlaku kah??? Berlaku sih, paling cuma 1-2 tahun setelah itu mereka sliweran lagi lalu lalang kek orang ga punya dosa"
2026-04-13 19:10:59,@revol7hink @sampahfhui Setuju sih
2026-04-13 19:14:25,@revol7hink @bebekqaleo @sampahfhui telaah hukum pake gpt🤣
2026-04-13 19:20:29,@revol7hink @bebekqaleo @sampahfhui Sebelum buka gpt buka dulu berita nya bang
2026-04-13 19:59:26,@revol7hink @bebekqaleo @sampahfhui Lo antek2nya kah?
2026-04-13 20:01:17,@DennySeggssegar @sampahfhui cobaaa rasain dh kalo emak lo yg dilecehin di grup itu gmn wkwkkww mampus kali lu
2026-04-13 20:35:04,@revol7hink @bebekqaleo @sampahfhui Lu baca ga si?
2026-04-13 20:39:16,"@revol7hink @bebekqaleo @sampahfhui Lu aja ngandelin chat gpt anjir, statement aja udh ga kuat, mending jangan ngomong deh"
2026-04-13 21:11:21,"@Ritzhy1 @Daimankobe @ulil_f4 @bachrum_achmadi Masih ga ngerti2 ya Allah haha, susah sih menjelaskan org yg pendidikannnya rendah, emosian dan benci. Kalo org pintar ga akan mempertanyakan ini. Pdhal sering bgt dijelaskan oleh pengacaranya sbg perwakilan pak jokowi jg dan sering dbahas di acara Inews saat debat."
2026-04-13 22:12:11,"@revol7hink @sampahfhui Ya udh keluarga lu kita lecehin bareng2 sini, tp ranah privacy aja, ga ada yang tau… gpp juga brrti kan?"
2026-04-13 22:28:55,"@revol7hink @bebekqaleo @sampahfhui Yehhhh, namanya sexual assult ga cuma perbuatan dan apa yg muncul dari mulut ya. Dikira ga berefek kali ah."
2026-04-13 22:56:29,@revol7hink @bebekqaleo @sampahfhui Sudah di hukum duluan Sudah kondang setanah air Kalau U I Sampai Tdk menindak Tegas Wajib Juga Integritas Moral Lembaganya di Pertanyakan
2026-04-13 23:15:19,"@revol7hink @sampahfhui ranah privat yg lu maksud ketika korbannya tau dan merasa itu merugikan itu tetap pelecehan, bayangin lu tiba-tiba tau kalau badan lu jadi objek seks mereka selama ini, menurut lu harus diem aja atau gimana?"
2026-04-13 23:24:24,@MastinSaurus @sampahfhui MIKIR BLEGUG
2026-04-13 23:27:21,"@MastinSaurus @sampahfhui Itu kan udah diumbar jd chat, gak disimpen dikepala lagi. Malah nyalahin yg ng share, lu juga gitu ya sama tongkrongan? Takut isi obrolannya kena juga?"
2026-04-13 23:28:32,"@MastinSaurus @sampahfhui yee emang gw suci, dikira semua orang tua nggabisa ngedidik kaya orang tua lu kali"
2026-04-13 23:30:04,"@MastinSaurus @sampahfhui kalo udah ngelecehin, mau di mana pun tetep salah bang. kaga usah lah nge bener bener in tindakan yang udah jelas salah"
2026-04-13 23:31:19,"@MastinSaurus @sampahfhui rasanya mau julid, semoga cepet sadar deh kalo pola pikirnya salah"
2026-04-13 23:34:05,"@MastinSaurus @sampahfhui dongo bet anjg, otak lu dituker otak udang kah?"
2026-04-13 23:35:02,"@MastinSaurus @sampahfhui Hari sial gak ada di kalender. Niatnya seru2an di grup malah ke ekspos pas bahasan begini, pas jg sama mentalitas org sini yang seneng kalo liat orang kena musibah wkwk"
2026-04-13 23:37:47,"Dia adalah Keona Ezra Pangestu. Dia merupakan sosok yang sempat membantah telah melakukan pelecehan seksual terhadap para korban di grup chat bersama 15 pelaku lainnya. Singkat cerita, ternyata justru dia yang melakukan pelecehan seksual verbal terhadap dosen FH UI yang diduga berjumlah 7 orang. Bahkan salah satu dosen yang menjadi korban turut hadir dalam forum yang digelar hari ini."
2026-04-13 23:38:12,"@MastinSaurus @sampahfhui Ginilah kalo anak seharusnya dibesarkan pake uang halal, bukan uang haram."
2026-04-13 23:38:32,@MastinSaurus @sampahfhui Wah wah wah wah emang suci kok karna gak ada niat ngomongin orang se rendah itu apalagi ngebela pake alasan kek gitu ewww gak punya empati
2026-04-13 23:41:00,@MastinSaurus @sampahfhui eh tari kecak kocak kocok mastin saurus @MastinSaurus kekerasan seksual tidak hanya secara fisik. kenapa hati nurani lo nganggep bahwa melecehkan boleh dilakukan di grup privat? tari kecak.
2026-04-13 23:41:06,"gue liat orang yang bilang ""ih seru banget nontonin sidang fhui"" woy ini tuh bukan hiburan buat lu anj, ini biar korban mendapat keadilan, selama sidang juga berisik bener hollering sampe ga denger minta maafnya gimana 🥲 (it's valid reaction tho we should shame them more)"
2026-04-13 23:42:02,@MastinSaurus @sampahfhui dongo di pelihara
2026-04-13 23:42:12,@MastinSaurus @sampahfhui tongkrongan lu sama kayak mereka ya bang suka lecehin cewe juga? najis
2026-04-13 23:42:23,@MastinSaurus @sampahfhui Lah dongo. Opini sialan macam apa ini???
2026-04-13 23:43:33,Dugaan Pelecehan oleh 16 Mahasiswa FH UI: Dipecat dari IKM-Terancam Sanksi Kampus https://t.co/H0KbBfnTMS
2026-04-13 23:45:10,"This. Korban melawan dan merebut panggung. Forum terbuka FHUI semalam keras, gaduh dan tidak ideal tapi di tengah amuk kita melihat pihak dekan tidak menutup-nutupi dan berusah menjalankan tugas sebaik mereka mampu. Hormat untuk Dekan Parulian Aritonang FHUI’96. Pertahankan."
2026-04-13 23:45:35,"Serem + jijik banget sama kejadian di FHUI ini. Pas weekend dikasih tau temen yang anak FEUI, terus liat screenshot grup chat mereka… langsung eneg. Tadi juga sempet nonton live-nya, dari 16 orang yang terlibat, cuma 2 yang berani muncul di forum. Sisanya? 14 orang katanya nggak diizinin ortu. Lucu sih, pas di chat berani banget jari sama mulutnya, tapi giliran disuruh tanggung jawab malah pada ciut"
2026-04-13 23:46:26,"Bencii banget sama yg bilang live forum fhui semalem ""seru"". ITS NOT. Kebayang ngga sih betapa traumatisnya para korban untuk berada di ruangan yg sama dengan pelaku. Dan tujuan dari ini semua kan untuk mencari keadilan bagi para korban, mereka lah yang seharusnya didengarkan"
2026-04-13 23:48:57,"@MastinSaurus gmn pelaku ks ngga pd besar kepala kl baca tulisan lu, merasa dibela mereka. keren lu ngetik gt? pelaku jg ya?"
2026-04-13 23:49:50,"semaleman nonton live forum FH UI cuma bisa melongo aja karena itu para pelaku pada sakit sih. ngerasa ada yg backing sih. apalagi salah satu bilang pelecehan yg dilakukan dimaksudkan hanya untuk konteks ""bercandaan &amp; memancing reaksi grup"" waahhhhh, shock bgt dengernya."
2026-04-13 23:51:00,@MastinSaurus @sampahfhui jadi nunggu ada korban yg dilecehin secara nyata dulu baru ditindak?
2026-04-13 23:53:27,@MastinSaurus @sampahfhui eh mastin lu mending mati aja
2026-04-13 23:54:57,"@tesvsyy @sampahfhui @HukumUI ""Asdos FH UI &amp; Seorang Perempuan"" namun justru tidak melindungi korban KS💩"
2026-04-13 23:55:56,"@univ_indonesia Datang buat belajar keadilan, pulang jadi contoh kenapa hukum itu dibutuhkan 💀 Pelaku KS [ Kekerasan Seksual Fakultas Hukum ] FH UI terbanyak 16 orang, silahkan Rektor dan Dekan pakai topeng badut untuk menutupi rasa malu"
2026-04-13 23:58:22,"@MastinSaurus @sampahfhui Kamu org dongo ya, gws semoga cepat waras jangan lupa berobat ya broh"
2026-04-13 23:58:31,"@MastinSaurus @sampahfhui Bunda bunda, peran ortu penting bgt buat kesehatan mental dan perkembangan otak anak. Ini udh level NPD yg udh wadudaw bgt otaknya. Awasin anak kalian agar tidak terpapar pemikiran cabul seperti ini"
2026-04-13 23:58:37,"@MastinSaurus @sampahfhui eh sumpah belah deh kepala lu dan keluarin otak yang ada di tempurung lu itu, ga guna"
2026-04-14 00:01:50,"@MastinSaurus @sampahfhui Ini kalau pelaku smp nyewa pengacara, yg dituntut bisa2 yg nyebarin isi chat, sama kampus kl sampai DO, apalagi kabarnya ada anak pejabat juga. Negara kita negara hukum bukan negara etika, sdh banyak dicontohin sm pejabat2."
2026-04-14 00:04:23,@MastinSaurus @sampahfhui buka dong dm lu manusia kotor
2026-04-14 00:04:47,"@MastinSaurus @sampahfhui Berarti emng tongkrongan lu suka ngelecehin juga, fix kualitas otak nya sama"
2026-04-14 00:05:36,@MastinSaurus @Sempiternal297 @sampahfhui Idih ada zionist
